Pattern,Support,MinSup,Runtime
due	bytes	responsible	000	opinion	640x480	rob	paradise	tsr	bios	kyanko	rjck	640x400	8514	wd	0x100	restrictions	,3,3,18.093942880630493
bag	,3,3,18.093942880630493
garbo	uwasa	,3,3,18.093942880630493
wrong	200	responsible	000	umn	480	640	tc	,3,3,18.093942880630493
responsible	000	essex	,3,3,18.093942880630493
pack	,3,3,18.093942880630493
jeff	_____	______	,3,3,18.093942880630493
api	,3,3,18.093942880630493
human	home	multimedia	workstation	ready	advice	thinking	targa	originally	divine	forgive	perfect	ncr	airhead	balki	bartokomas	columbiasc	strangers	toontown	williamson	,3,3,18.093942880630493
kr	,3,3,18.093942880630493
previewer	,3,3,18.093942880630493
solution	go32	apprecied	somenone	,3,3,18.093942880630493
lord	,3,3,18.093942880630493
74	,3,3,18.093942880630493
direction	stephen	normal	csd	normals	harris	face	faces	srp	orientations	1pscti	aqe	orienting	pietrowicz	travis	,3,3,18.093942880630493
account	,3,3,18.093942880630493
mono	,3,3,18.093942880630493
travel	,3,3,18.093942880630493
bulletin	,3,3,18.093942880630493
feel	blank	,3,3,18.093942880630493
administrator	,3,3,18.093942880630493
alone	walk	,3,3,18.093942880630493
dent	,3,3,18.093942880630493
bear	,3,3,18.093942880630493
mi	eecs	,3,3,18.093942880630493
cch	coventry	,3,3,18.093942880630493
danny	,3,3,18.093942880630493
created	tga	povray	ornl	,3,3,18.093942880630493
registers	,3,3,18.093942880630493
studio	previous	ipas	,3,3,18.093942880630493
fuzzy	,3,3,18.093942880630493
berkeley	1993apr22	aron	bonar	ced	tikal	,3,3,18.093942880630493
brain	monkey	,3,3,18.093942880630493
wayne	utk	utkvx	donald	haston	,3,3,18.093942880630493
ontario	western	csd	london	uwo	,3,3,18.093942880630493
sb	,3,3,18.093942880630493
resizing	,3,3,18.093942880630493
maps	shadows	reflections	,3,3,18.093942880630493
facts	,3,3,18.093942880630493
feel	long	keep	particular	power	notice	entire	86	,3,3,18.093942880630493
man	hear	higher	upon	often	translation	andreas	seeing	andreasa	arff	dhhalden	builds	mystery	beeing	birth	confessor	disregarded	fist	indisputible	lagerkvist	mankind	ostfold	prized	prizeing	religous	sees	seldom	swedish	,3,3,18.093942880630493
paper	flattening	fold	,3,3,18.093942880630493
freeman	,3,3,18.093942880630493
achive	,3,3,18.093942880630493
clockwise	counter	,3,3,18.093942880630493
shared	,3,3,18.093942880630493
libraries	visual	700	,3,3,18.093942880630493
fr	informatique	,3,3,18.093942880630493
dither	,3,3,18.093942880630493
obvious	,3,3,18.093942880630493
humor	,3,3,18.093942880630493
test	sf	,3,3,18.093942880630493
saturn	,3,3,18.093942880630493
tile	,3,3,18.093942880630493
tim	tmc	brocku	ciceran	spartan	grfwk61t	,3,3,18.093942880630493
iowa	,3,3,18.093942880630493
words	90	customers	,3,3,18.093942880630493
ordered	,3,3,18.093942880630493
life	marco	seirio	sp1marse	caligula	,3,3,18.093942880630493
pbm	,3,3,18.093942880630493
768	,3,3,18.093942880630493
feel	personally	tdawson	thus	forum	herringshaw	asked	learn	proposed	favor	concerning	curious	posts	discussing	agree	awful	convenience	wate	issues	srvr1	newsgroups	addition	spectrum	1quvdoinn3e7	mega	bring	pardon	categories	structured	shall	likelihood	char	fall	ccwf	crossposting	nerone	observable	plagued	readily	sylvester	galileo	lack	obliged	cleanly	customary	dizzying	fictional	sagredo	tact	,3,3,18.093942880630493
arkansas	,3,3,18.093942880630493
reinventing	,3,3,18.093942880630493
trick	,3,3,18.093942880630493
curve	curves	bezier	ferdinand	oeinck	waterland	wlink	node	ferdinan	groningen	,3,3,18.093942880630493
desqview	,3,3,18.093942880630493
modes	ram	ie	higher	320x200x256	extra	paradise	freenet	carleton	paging	800x600x256	ad994	dbf	teach	,3,3,18.093942880630493
personally	tdawson	thus	herringshaw	proposed	concerning	srvr1	newsgroups	spectrum	1quvdoinn3e7	mega	bring	structured	likelihood	ccwf	crossposting	nerone	observable	plagued	readily	sylvester	93apr20085951	,3,3,18.093942880630493
hopkins	jhu	johns	,3,3,18.093942880630493
genoa	,3,3,18.093942880630493
330	,3,3,18.093942880630493
deluxe	,3,3,18.093942880630493
_______	,3,3,18.093942880630493
